X,Y,Z,MapID,MobType,ScriptName
380,98,0,7,10,
387,155,0,7,10,DrSchlong
337,116,0,7,10,
427,188,0,7,10,
350,64,0,7,10,
352,138,0,7,10,
164,214,0,7,10,fletcher
123,223,0,7,10,
216,341,0,7,10,Charles
312,363,0,7,10,chest
338,398,0,7,10,chest
322,367,0,7,10,rodnin
138,267,0,5,10,spy112
74,324,0,2,10,spy114
64,356,0,2,10,spy113
36,351,0,2,180,spy108
33,360,0,2,180,spy111
38,342,0,2,180,spy111
38,342,0,2,180,spy111
30,350,0,2,180,spy111
133,286,0,5,10,spyfurnace
214,270,0,5,10,selicka
380,72,0,7,10,pete
350,64,0,7,10,demetrius
320,205,0,7,10,taritna
197,6,0,7,10,pryest
381,25,0,5,10,jerome
391,55,0,5,10,anita
133,211,0,5,10,adalia
337,116,0,7,10,francisco
318,380,0,7,10,theassassin
305,399,0,7,10,elbonironstrong
330,387,0,7,10,simpson
430,145,0,5,10,robq1
322,89,0,7,10,robq2
324,90,0,7,10,robq2
161,298,0,5,10,gabby
291,113,0,7,10,priest
320,108,0,7,10,soothsayer
334,58,0,7,10,rodney
366,107,0,7,10,hermes
391,98,0,7,10,woody
361,161,0,7,10,norm
355,163,0,7,10,vitima
338,166,0,7,10,gordon
325,166,0,7,10,clyde
338,56,0,7,10,lotem
361,128,0,7,10,allangrantt
362,125,0,7,10,samthebarkeep
383,52,0,7,10,penwick
393,51,0,7,10,mrfat
380,98,0,7,10,maryann
384,97,0,7,10,sirflanders
260,108,0,7,10,newbie
309,96,0,7,10,robincutthrout
147,184,0,6,10,luigi
144,169,0,6,10,david
166,154,0,6,10,kenny
176,154,0,6,10,billthescribe
186,154,0,6,10,blacksmith
180,184,0,6,10,mcdew
169,183,0,6,10,drseuss
221,186,0,6,10,dyhat
225,130,0,6,10,airlia
213,129,0,6,10,fyshi
183,207,0,6,10,morgan
148,145,0,6,10,heather
148,138,0,6,10,arrakeenia
144,206,0,6,10,zoran
6,322,0,5,10,fishbaron
84,436,0,5,10,oldman
75,472,0,5,10,johnny
360,282,0,7,10,DrEvil
362,279,0,7,10,idol
212,216,0,5,10,collin
141,242,0,5,10,drreset
18,391,0,5,10,Fishy
35,387,1,5,10,seaman1
339,54,0,7,10,GeeWiz
322,100,0,7,10,rob01
233,381,1,3,10,seaman2
321,87,0,7,10,robq5
329,133,0,7,10,nodlaf
165,204,0,7,10,pothead
166,139,0,4,10,sminerals
137,242,0,5,10,anders
320,219,1,6,10,frank
143,140,0,6,10,zer
242,510,0,5,10,gandalf
386,98,0,7,10,littlehole
354,58,0,7,10,shadytony
327,100,0,7,10,zerxp4
369,472,0,5,10,guildwarp1
369,472,0,5,10,guildwarp1
370,476,0,5,10,testguild
241,323,0,3,10,testguild
209,334,0,3,10,lucas
333,87,0,7,10,rules
69,303,0,1,55,
56,298,0,1,55,
43,320,0,1,55,
87,282,0,1,69,
123,357,0,1,69,
51,305,0,1,69,
34,330,0,1,69,
37,326,0,1,69,
23,312,0,1,69,
9,360,0,1,69,
68,274,0,1,69,
75,333,0,1,69,
72,367,0,1,69,
76,400,0,1,69,
97,423,0,1,69,
104,501,0,1,69,
140,475,0,1,69,
171,397,0,1,69,
188,365,0,1,69,
123,372,0,1,69,
90,399,0,1,69,
73,357,0,1,69,
87,347,0,1,69,
95,299,0,1,69,
57,287,0,1,69,
89,278,0,1,69,
94,261,0,1,69,
105,339,0,1,69,
117,342,0,1,69,
116,344,0,1,69,
137,146,0,1,83,
427,482,0,1,39,
421,467,0,1,49,
25,106,0,1,69,
24,78,0,1,69,
17,65,0,1,69,
104,146,0,1,69,
100,144,0,1,69,
154,143,0,1,155,
158,124,0,1,155,
140,116,0,1,69,
160,91,0,1,118,
136,102,0,1,69,
147,72,0,1,69,
91,124,0,1,49,
78,155,0,1,55,
42,155,0,1,55,
25,152,0,1,55,
44,104,0,1,55,
46,70,0,1,55,
45,23,0,1,55,
127,71,0,1,83,
115,49,0,1,155,
93,17,0,1,118,
123,16,0,1,118,
147,14,0,1,118,
156,40,0,1,118,
69,53,0,1,49,
69,53,0,1,49,
72,95,0,1,49,
70,78,0,1,49,
127,28,0,1,69,
42,108,0,1,27,
31,130,0,1,89,
31,130,0,1,89,
167,13,0,1,118,
92,35,0,1,118,
87,479,0,1,69,
59,484,0,1,69,
55,488,0,1,69,
88,484,0,1,69,
24,466,0,1,69,
21,471,0,1,69,
45,474,0,1,69,
33,493,0,1,69,
116,264,0,1,69,
132,281,0,1,69,
225,433,0,1,6,
220,439,0,1,69,
206,453,0,1,34,
231,301,0,1,82,
235,317,0,1,69,
155,479,0,1,69,
136,496,0,1,63,
67,453,0,1,63,
71,449,0,1,69,
38,490,0,1,52,
33,347,0,1,6,
25,337,0,1,63,
20,340,0,1,63,
14,386,0,1,6,
9,394,0,1,63,
35,394,0,1,69,
111,485,0,1,63,
140,496,0,1,63,
106,490,0,1,63,
160,477,0,1,165,
138,452,0,1,63,
141,421,0,1,63,
147,396,0,1,63,
168,364,0,1,55,
153,368,0,1,82,
148,373,0,1,6,
148,387,0,1,82,
209,410,0,1,63,
197,407,0,1,63,
203,394,0,1,55,
191,386,0,1,63,
168,399,0,1,63,
109,411,0,1,165,
122,400,0,1,63,
18,305,0,1,6,
47,347,0,1,63,
53,364,0,1,55,
47,381,0,1,69,
62,391,0,1,49,
52,439,0,1,82,
21,416,0,1,69,
42,429,0,1,63,
73,419,0,1,69,
280,217,0,1,69,
311,243,0,1,69,
303,228,0,1,69,
288,194,0,1,69,
301,179,0,1,63,
265,158,0,1,63,
276,169,0,1,69,
269,171,0,1,69,
293,168,0,1,6,
273,144,0,1,52,
290,145,0,1,69,
285,129,0,1,63,
290,127,0,1,52,
267,106,0,1,24,
276,94,0,1,69,
282,92,0,1,55,
270,58,0,1,6,
358,73,0,1,6,
266,68,0,1,51,
280,75,0,1,63,
283,58,0,1,165,
266,42,0,1,69,
281,41,0,1,57,
342,111,0,1,82,
297,31,0,1,69,
309,9,0,1,69,
323,12,0,1,69,
335,12,0,1,25,
341,19,0,1,6,
349,12,0,1,63,
357,35,0,1,49,
341,44,0,1,6,
344,64,0,1,69,
315,90,0,1,32,
306,44,0,1,63,
305,45,0,1,165,
311,75,0,1,69,
317,69,0,1,6,
331,30,0,1,52,
325,53,0,1,67,
324,35,0,1,52,
320,55,0,1,34,
312,24,0,1,6,
384,96,0,1,55,
373,93,0,1,16,
424,98,0,1,6,
377,64,0,1,39,
459,12,0,1,141,
436,20,0,1,49,
445,18,0,1,63,
452,30,0,1,165,
440,43,0,1,16,
436,60,0,1,52,
438,64,0,1,25,
410,55,0,1,69,
359,11,0,1,55,
355,60,0,1,51,
406,14,0,1,34,
390,7,0,1,6,
387,8,0,1,6,
369,14,0,1,69,
373,18,0,1,52,
368,21,0,1,165,
373,44,0,1,63,
377,41,0,1,6,
384,29,0,1,39,
391,26,0,1,27,
397,75,0,1,69,
428,71,0,1,16,
476,139,0,1,69,
481,149,0,1,63,
495,162,0,1,57,
494,137,0,1,6,
475,119,0,1,52,
484,101,0,1,16,
482,108,0,1,69,
473,85,0,1,165,
488,72,0,1,63,
483,56,0,1,69,
497,59,0,1,82,
483,38,0,1,63,
469,43,0,1,51,
468,33,0,1,82,
460,64,0,1,24,
456,70,0,1,6,
461,84,0,1,69,
446,95,0,1,25,
439,100,0,1,6,
430,87,0,1,82,
453,141,0,1,12,
442,129,0,1,6,
439,112,0,1,69,
432,115,0,1,165,
414,101,0,1,16,
398,92,0,1,6,
411,115,0,1,51,
426,136,0,1,27,
425,156,0,1,69,
406,141,0,1,25,
429,244,0,1,6,
412,234,0,1,40,
431,225,0,1,69,
414,220,0,1,49,
415,199,0,1,16,
400,192,0,1,24,
388,186,0,1,6,
378,176,0,1,63,
391,174,0,1,165,
384,152,0,1,69,
379,160,0,1,52,
361,154,0,1,25,
361,170,0,1,6,
365,182,0,1,49,
354,191,0,1,165,
334,195,0,1,16,
324,184,0,1,141,
315,192,0,1,51,
285,239,0,1,32,
318,231,0,1,34,
291,156,0,1,6,
265,145,0,1,63,
307,141,0,1,69,
316,165,0,1,165,
321,155,0,1,6,
333,150,0,1,55,
348,174,0,1,25,
339,134,0,1,6,
274,30,0,1,49,
380,53,0,1,6,
375,68,0,1,69,
399,61,0,1,55,
421,125,0,1,6,
408,130,0,1,63,
392,123,0,1,141,
361,139,0,1,69,
352,144,0,1,55,
375,134,0,1,63,
387,130,0,1,39,
375,106,0,1,49,
370,116,0,1,165,
350,126,0,1,143,
340,86,0,1,143,
314,128,0,1,77,
325,107,0,1,6,
325,121,0,1,143,
350,104,0,1,6,
452,6,0,1,136,
395,48,0,1,136,
360,76,0,1,136,
267,236,0,1,136,
431,173,0,1,136,
425,190,0,1,136,
469,175,0,1,136,
479,208,0,1,136,
459,205,0,1,136,
9,351,0,1,156,
113,51,0,2,41,
445,481,0,2,114,
446,498,0,2,114,
455,498,0,2,76,
454,490,0,2,76,
464,484,0,2,76,
477,485,0,2,67,
486,487,0,2,67,
484,499,0,2,67,
497,500,0,2,67,
18,79,0,2,39,
21,83,0,2,39,
14,75,0,2,39,
123,5,0,2,14,
126,4,0,2,14,
166,136,0,2,39,
168,134,0,2,39,
168,130,0,2,39,
167,129,0,2,39,
167,129,0,2,39,
177,136,0,2,39,
179,141,0,2,39,
176,138,0,2,39,
175,139,0,2,39,
165,120,0,2,39,
163,118,0,2,39,
168,135,0,2,39,
152,127,0,2,39,
148,123,0,2,39,
177,51,0,2,14,
102,47,0,2,39,
96,47,0,2,39,
98,45,0,2,39,
94,36,0,2,39,
99,36,0,2,39,
96,45,0,2,39,
100,46,0,2,39,
97,36,0,2,39,
97,47,0,2,39,
98,45,0,2,39,
98,45,0,2,39,
94,36,0,2,39,
98,46,0,2,39,
98,45,0,2,39,
29,174,0,2,27,
28,169,0,2,39,
28,175,0,2,39,
25,174,0,2,39,
26,171,0,2,39,
30,172,0,2,39,
28,170,0,2,39,
25,175,0,2,39,
100,119,0,2,27,
100,118,0,2,39,
100,120,0,2,39,
100,120,0,2,39,
101,119,0,2,39,
101,119,0,2,39,
100,120,0,2,27,
168,129,0,2,14,
102,158,0,2,14,
174,111,0,2,14,
183,130,0,2,39,
183,132,0,2,39,
166,121,0,2,39,
166,121,0,2,39,
162,119,0,2,39,
169,115,0,2,39,
103,4,0,2,39,
107,11,0,2,39,
110,11,0,2,39,
108,9,0,2,39,
110,10,0,2,39,
103,5,0,2,39,
110,8,0,2,39,
109,9,0,2,39,
109,8,0,2,39,
106,11,0,2,39,
54,156,0,2,39,
51,156,0,2,39,
52,157,0,2,39,
54,154,0,2,39,
77,31,0,2,39,
78,27,0,2,39,
78,28,0,2,39,
80,25,0,2,39,
80,28,0,2,39,
76,27,0,2,39,
104,137,0,2,39,
108,135,0,2,39,
105,133,0,2,39,
105,133,0,2,39,
104,132,0,2,39,
107,134,0,2,39,
55,164,0,2,14,
178,30,0,2,39,
176,26,0,2,39,
174,28,0,2,39,
174,26,0,2,39,
180,29,0,2,39,
176,25,0,2,39,
120,77,0,2,14,
19,24,0,2,14,
124,123,0,2,14,
90,123,0,2,14,
122,103,0,2,165,
122,100,0,2,165,
92,124,0,2,14,
95,22,0,2,14,
65,145,0,2,39,
183,177,0,2,39,
168,116,0,2,39,
148,80,0,2,14,
9,89,0,2,7,
173,49,0,2,39,
67,148,0,2,39,
184,130,0,2,39,
92,130,0,2,39,
164,78,0,2,39,
27,75,0,2,14,
10,122,0,2,14,
110,15,0,2,39,
10,79,0,2,39,
18,165,0,2,39,
170,98,0,2,39,
107,130,0,2,39,
166,154,0,2,14,
169,151,0,2,14,
54,140,0,2,39,
78,11,0,2,39,
155,130,0,2,14,
71,130,0,2,39,
167,129,0,2,14,
89,120,0,2,39,
9,77,0,2,27,
6,143,0,2,39,
168,20,0,2,14,
169,19,0,2,14,
23,154,0,2,39,
29,156,0,2,39,
28,174,0,2,39,
119,57,0,2,14,
100,30,0,2,39,
145,93,0,2,14,
154,119,0,2,39,
66,16,0,2,14,
176,130,0,2,39,
9,88,0,2,7,
131,135,0,2,14,
22,55,0,2,14,
83,25,0,2,39,
117,156,0,2,14,
179,35,0,2,39,
175,106,0,2,39,
165,12,0,2,39,
140,92,0,2,14,
168,54,0,2,7,
126,91,0,2,39,
145,101,0,2,14,
100,120,0,2,39,
285,71,0,2,67,
283,80,0,2,67,
120,63,0,2,14,
273,72,0,2,67,
275,83,0,2,67,
288,72,0,2,69,
184,172,0,2,27,
188,174,0,2,27,
188,177,0,2,27,
7,32,0,2,27,
181,180,0,2,27,
182,173,0,2,27,
184,177,0,2,27,
183,180,0,2,27,
186,175,0,2,27,
184,177,0,2,27,
184,175,0,2,40,
165,185,0,2,182,
143,179,0,2,182,
119,169,0,2,182,
290,87,0,2,69,
290,93,0,2,67,
264,95,0,2,69,
266,91,0,2,67,
5,410,0,2,91,
79,489,0,2,90,
79,484,0,2,90,
78,478,0,2,90,
79,473,0,2,90,
80,468,0,2,90,
77,460,0,2,90,
82,440,0,2,90,
80,420,0,2,90,
80,434,0,2,90,
80,448,0,2,90,
79,461,0,2,90,
446,475,0,4,54,
451,475,0,4,54,
358,389,0,4,75,
358,418,0,4,79,
334,383,0,4,4,
335,383,0,4,4,
336,385,0,4,4,
323,398,0,4,79,
325,399,0,4,79,
325,401,0,4,79,
326,400,0,4,79,
338,425,0,4,4,
338,425,0,4,4,
339,426,0,4,79,
355,373,0,4,75,
346,358,0,4,75,
445,298,0,4,77,
453,490,0,4,39,
450,488,0,4,39,
473,451,0,4,7,
473,458,0,4,7,
173,367,0,4,27,
449,475,0,4,8,
413,297,0,4,57,
367,439,0,4,75,
362,451,0,4,75,
364,466,0,4,142,
319,215,0,4,28,
324,198,0,4,28,
321,186,0,4,28,
339,194,0,4,28,
339,202,0,4,28,
317,215,0,4,7,
325,196,0,4,7,
337,197,0,4,7,
329,219,0,4,35,
415,436,0,4,7,
423,436,0,4,7,
457,449,0,4,7,
464,456,0,4,7,
458,462,0,4,7,
429,417,0,4,8,
448,417,0,4,7,
437,426,0,4,7,
438,415,0,4,7,
386,458,0,4,28,
387,454,0,4,28,
398,455,0,4,28,
174,399,0,4,27,
137,198,0,4,75,
150,196,0,4,75,
124,198,0,4,75,
25,466,0,4,75,
10,485,0,4,75,
11,502,0,4,75,
43,497,0,4,75,
39,486,0,4,75,
400,420,0,4,8,
50,490,0,4,142,
393,422,0,4,28,
20,498,0,4,75,
164,381,0,4,51,
139,401,0,4,51,
139,390,0,4,51,
150,392,0,4,51,
160,397,0,4,51,
164,409,0,4,51,
180,457,0,4,51,
172,437,0,4,51,
195,430,0,4,51,
186,425,0,4,51,
198,422,0,4,51,
193,415,0,4,51,
175,416,0,4,51,
173,429,0,4,51,
162,447,0,4,51,
140,450,0,4,51,
141,433,0,4,51,
156,425,0,4,51,
146,417,0,4,51,
131,423,0,4,51,
134,440,0,4,51,
133,407,0,4,51,
410,497,0,4,111,
406,492,0,4,112,
413,488,0,4,112,
409,484,0,4,111,
408,477,0,4,111,
148,375,0,4,51,
180,364,0,4,51,
14,108,0,4,5,
22,106,0,4,5,
385,18,0,4,116,
391,33,0,4,116,
414,37,0,4,116,
399,23,0,4,116,
409,21,0,4,116,
18,110,0,4,14,
15,118,0,4,2,
15,116,0,4,2,
15,118,0,4,2,
20,111,0,4,2,
16,109,0,4,2,
56,103,0,4,13,
56,103,0,4,13,
56,103,0,4,13,
53,110,0,4,3,
53,110,0,4,3,
59,111,0,4,3,
52,118,0,4,3,
55,117,0,4,3,
493,483,0,4,55,
488,496,0,4,55,
488,489,0,4,55,
90,48,0,4,85,
90,48,0,4,85,
100,51,0,4,90,
90,40,0,4,90,
100,51,0,4,90,
106,34,0,4,90,
123,421,0,4,39,
101,87,0,4,86,
147,79,0,4,91,
161,89,0,4,91,
164,82,0,4,91,
161,89,0,4,91,
130,76,0,4,90,
135,71,0,4,90,
130,76,0,4,90,
139,93,0,4,90,
166,86,0,4,90,
162,81,0,4,90,
136,59,0,4,90,
130,76,0,4,90,
121,62,0,4,90,
101,20,0,4,68,
103,38,0,4,68,
117,37,0,4,68,
131,47,0,4,68,
122,16,0,4,68,
132,32,0,4,68,
134,21,0,4,90,
127,14,0,4,68,
157,32,0,4,143,
172,15,0,4,92,
179,53,0,4,137,
164,38,0,4,150,
189,49,0,4,92,
156,19,0,4,91,
156,19,0,4,91,
156,33,0,4,91,
172,14,0,4,91,
182,64,0,4,91,
192,62,0,4,91,
190,53,0,4,91,
194,22,0,4,92,
140,73,0,4,21,
360,259,0,4,150,
160,56,0,4,132,
358,261,0,4,150,
177,144,0,4,136,
181,166,0,4,55,
181,189,0,4,55,
192,164,0,4,55,
166,54,0,4,143,
206,182,0,4,55,
220,180,0,4,136,
209,197,0,4,39,
104,320,0,4,7,
108,310,0,4,7,
135,317,0,4,7,
128,318,0,4,54,
113,316,0,4,54,
111,326,0,4,69,
56,173,0,4,106,
59,179,0,4,106,
46,204,0,4,106,
11,154,0,4,106,
28,175,0,4,106,
33,200,0,4,55,
333,357,0,4,75,
332,366,0,4,75,
395,127,0,4,167,
396,128,0,4,168,
387,126,0,4,167,
380,128,0,4,168,
378,138,0,4,190,
376,143,0,4,190,
377,148,0,4,190,
249,327,0,4,2,
249,329,0,4,2,
250,330,0,4,2,
249,331,0,4,2,
249,325,0,4,2,
356,73,0,4,75,
370,88,0,4,75,
376,84,0,4,75,
399,218,0,4,113,
134,149,0,4,168,
134,156,0,4,167,
342,11,0,4,27,
499,14,0,4,160,
499,29,0,4,15,
418,146,0,4,166,
412,152,0,4,166,
406,156,0,4,166,
400,162,0,4,166,
412,164,0,4,166,
497,10,0,4,124,
367,420,0,4,75,
314,124,0,4,99,
300,124,0,4,99,
336,83,0,4,99,
342,99,0,4,99,
302,91,0,4,99,
321,112,0,4,99,
315,96,0,4,99,
301,372,0,4,5,
295,372,0,4,5,
299,353,0,4,5,
297,354,0,4,5,
465,435,0,4,54,
457,435,0,4,54,
72,339,0,4,75,
67,340,0,4,75,
74,326,0,4,75,
65,313,0,4,75,
51,322,0,4,75,
39,248,0,4,75,
32,244,0,4,75,
35,291,0,4,75,
46,283,0,4,75,
48,261,0,4,75,
457,286,0,4,155,
465,331,0,4,155,
41,340,0,4,75,
38,360,0,4,75,
6,245,0,4,75,
9,275,0,4,75,
6,276,0,4,75,
72,391,0,4,75,
64,367,0,4,75,
45,381,0,4,75,
297,141,0,4,190,
305,145,0,4,190,
313,145,0,4,190,
309,153,0,4,190,
306,153,0,4,190,
316,136,0,4,190,
290,91,0,4,99,
190,266,0,4,24,
218,241,0,4,24,
206,255,0,4,24,
207,280,0,4,24,
184,291,0,4,24,
195,283,0,4,24,
183,271,0,4,24,
183,253,0,4,16,
195,257,0,4,16,
205,281,0,4,16,
194,286,0,4,16,
193,260,0,4,16,
208,259,0,4,16,
192,262,0,4,16,
210,290,0,4,16,
197,285,0,4,16,
191,271,0,4,16,
202,276,0,4,16,
213,240,0,4,16,
202,255,0,4,16,
183,244,0,4,16,
185,251,0,4,16,
185,264,0,4,16,
190,274,0,4,16,
184,291,0,4,16,
191,284,0,4,16,
200,282,0,4,16,
208,285,0,4,16,
211,276,0,4,16,
211,268,0,4,16,
210,261,0,4,16,
206,255,0,4,16,
211,249,0,4,16,
214,240,0,4,16,
504,340,0,4,83,
503,324,0,4,83,
504,306,0,4,83,
19,263,0,4,75,
31,271,0,4,75,
19,249,0,4,75,
90,484,0,4,75,
80,501,0,4,75,
110,489,0,4,75,
102,460,0,4,75,
83,466,0,4,75,
45,460,0,4,75,
26,385,0,4,75,
8,403,0,4,75,
8,384,0,4,75,
436,385,0,4,62,
19,294,0,4,75,
30,314,0,4,75,
9,308,0,4,75,
5,352,0,4,55,
10,335,0,4,75,
3,361,0,4,75,
33,316,0,4,55,
502,408,0,4,83,
502,373,0,4,83,
501,389,0,4,83,
486,214,0,4,77,
465,319,0,4,155,
328,331,0,4,83,
346,327,0,4,77,
488,228,0,4,114,
468,218,0,4,110,
467,207,0,4,110,
330,335,0,4,110,
325,333,0,4,62,
357,338,0,4,113,
384,321,0,4,110,
420,297,0,4,57,
422,386,0,4,62,
405,400,0,4,88,
439,244,0,4,77,
420,234,0,4,83,
371,227,0,4,76,
370,199,0,4,99,
378,207,0,4,87,
364,207,0,4,87,
383,229,0,4,8,
360,230,0,4,8,
373,231,0,4,28,
367,225,0,4,28,
374,222,0,4,28,
333,243,0,4,37,
330,246,0,4,36,
336,305,0,4,36,
350,310,0,4,87,
363,309,0,4,8,
338,308,0,4,8,
343,298,0,4,28,
357,299,0,4,28,
348,276,0,4,28,
344,280,0,4,8,
344,273,0,4,8,
384,270,0,4,28,
372,281,0,4,28,
397,239,0,4,114,
403,270,0,4,8,
403,275,0,4,76,
420,263,0,4,76,
415,267,0,4,8,
417,258,0,4,8,
419,264,0,4,8,
400,220,0,4,113,
439,192,0,4,109,
443,266,0,4,155,
385,360,0,4,62,
408,329,0,4,83,
445,297,0,4,77,
492,355,0,4,62,
479,391,0,4,62,
365,61,0,5,72,
317,196,0,5,75,
316,197,0,5,75,
359,88,0,5,1,
359,88,0,5,1,
94,127,0,5,88,
91,130,0,5,88,
27,226,0,5,6,
23,230,0,5,1,
34,234,0,5,1,
161,363,0,5,31,
161,363,0,5,31,
321,378,0,5,77,
21,94,0,5,30,
24,94,0,5,139,
24,96,0,5,31,
22,100,0,5,30,
13,90,0,5,139,
427,332,0,5,64,
369,291,0,5,64,
318,295,0,5,64,
280,354,0,5,64,
433,437,0,5,19,
303,479,0,5,64,
369,291,0,5,64,
359,483,0,5,64,
273,358,0,5,6,
106,151,0,5,61,
114,153,0,5,61,
109,163,0,5,61,
105,166,0,5,61,
375,398,0,5,100,
387,405,0,5,100,
274,358,0,5,63,
194,486,0,5,106,
194,488,0,5,106,
401,185,0,5,93,
397,191,0,5,72,
481,45,0,5,72,
145,333,0,5,102,
415,174,0,5,70,
417,183,0,5,70,
411,175,0,5,70,
408,177,0,5,70,
299,13,0,5,82,
356,291,0,5,52,
355,294,0,5,52,
355,294,0,5,25,
358,291,0,5,52,
359,292,0,5,19,
10,4,0,5,152,
80,383,0,5,107,
77,356,0,5,119,
82,351,0,5,119,
65,349,0,5,119,
67,341,0,5,119,
73,351,0,5,120,
70,311,0,5,2,
70,320,0,5,1,
444,221,0,5,143,
227,182,0,5,69,
4,441,0,5,70,
4,443,0,5,70,
410,324,0,5,100,
8,361,0,5,6,
20,234,0,5,160,
20,226,0,5,160,
452,471,0,5,143,
463,459,0,5,16,
455,463,0,5,136,
459,471,0,5,144,
470,463,0,5,120,
469,470,0,5,14,
484,475,0,5,82,
471,481,0,5,5,
471,487,0,5,1,
462,483,0,5,6,
477,482,0,5,4,
470,481,0,5,52,
215,66,0,5,6,
258,261,0,5,19,
311,229,0,5,19,
305,230,0,5,70,
239,242,0,5,1,
367,437,0,5,100,
375,430,0,5,1,
328,483,0,5,143,
157,202,0,5,2,
253,38,0,5,2,
219,33,0,5,2,
239,242,0,5,1,
21,231,0,5,100,
221,345,0,5,141,
435,76,0,5,2,
434,79,0,5,2,
443,77,0,5,2,
438,82,0,5,5,
435,77,0,5,5,
6,210,0,5,101,
104,6,0,5,182,
241,261,0,5,177,
462,268,0,5,100,
105,155,0,5,61,
113,160,0,5,61,
109,154,0,5,61,
106,157,0,5,76,
471,352,0,5,169,
473,350,0,5,174,
471,355,0,5,173,
5,5,0,5,74,
6,4,0,5,74,
174,257,0,5,38,
176,255,0,5,55,
309,116,0,5,45,
20,63,0,6,62,
17,59,0,6,62,
17,65,0,6,62,
17,62,0,6,62,
18,62,0,6,88,
458,321,0,6,131,
457,318,0,6,6,
498,451,0,6,20,
198,451,0,6,1,
104,416,0,6,127,
111,424,0,6,131,
109,416,0,6,131,
115,416,0,6,131,
116,423,0,6,127,
111,413,0,6,131,
102,414,0,6,127,
427,175,0,6,131,
418,174,0,6,131,
183,194,0,6,33,
184,196,0,6,33,
183,194,0,6,33,
184,195,0,6,33,
188,194,0,6,119,
188,195,0,6,120,
188,195,0,6,123,
148,165,0,6,17,
148,172,0,6,17,
59,374,0,6,182,
167,393,0,6,27,
168,385,0,6,39,
166,389,0,6,27,
190,372,0,6,131,
181,392,0,6,6,
179,379,0,6,127,
166,384,0,6,143,
143,397,0,6,63,
154,383,0,6,27,
148,383,0,6,39,
148,392,0,6,38,
376,369,0,6,97,
379,366,0,6,95,
375,364,0,6,95,
408,350,0,6,33,
409,350,0,6,33,
403,370,0,6,97,
407,367,0,6,95,
410,370,0,6,95,
393,357,0,6,96,
426,347,0,6,33,
427,353,0,6,33,
432,353,0,6,169,
418,358,0,6,38,
395,343,0,6,144,
389,339,0,6,119,
